index,Location,Area,Country,coords,latitude,longitude
2.0,Ocracoke Inlet,North Carolina,USA,"(35.0861054, -76.0333885)",35.0861054,35.0861054
13.0,Somewhere between Hatteras and Beaufort,North Carolina ,USA,"(34.7182174, -76.6638186)",34.7182174,34.7182174
18.0,"Gadsden Point, Tampa Bay",Florida,USA,"(27.8222481, -82.4731503)",27.8222481,27.8222481
68.0,"Mosquito Inlet (Ponce Inlet), Volusia County",Florida,USA,"(29.0963729, -80.9369983)",29.0963729,29.0963729
71.0,"LaJolla, San Diego County",California,USA,"(32.8328112, -117.2712717)",32.8328112,32.8328112
91.0,"Tampa Bay, Hillsborough County",Florida,USA,"(27.9483357, -82.4548264)",27.9483357,27.9483357
100.0,"Lost Tree Village, Palm Beach County",Florida,USA,"(26.8472144, -80.0531644)",26.8472144,26.8472144
135.0,Between Manhattan and The Bronx,New York ,USA,"(40.8447819, -73.8648268)",40.8447819,40.8447819
176.0,"Uo, Lahaina, Maui",Hawaii,USA,"(20.8783333, -156.6825)",20.8783333,20.8783333
190.0,“Southern Wharf”,South Carolina,USA,"(33.836081, -81.1637245)",33.836081,33.836081
191.0,"Magwoods Wharf, Charleston Harbor, Charleston County",South Carolina,USA,"(32.7956561, -79.7848422)",32.7956561,32.7956561
227.0,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",California,USA,"(37.6016892, -121.7195459)",37.6016892,37.6016892
239.0,"Near Fernandina Bar, Nassau County ",Florida,USA,"(30.5927334, -81.8224362)",30.5927334,30.5927334
240.0,Off the Battery,South Carolina,USA,"(33.836081, -81.1637245)",33.836081,33.836081
288.0,"Stono Inlet, near Charleston, Charleston County",South Carolina,USA,"(32.6304143, -79.9954946)",32.6304143,32.6304143
295.0,Mahattan,New York,USA,"(40.7830603, -73.9712488)",40.7830603,40.7830603
300.0,"Greenport Sound, Long Island",New York,USA,"(40.8521095, -72.9490754)",40.8521095,40.8521095
320.0,"Smithville (now Southport), Brunswick County",North Carolina,USA,"(33.921563, -78.02026769999999)",33.921563,33.921563
332.0,Kawahae,Hawaii,USA,"(20.0352881, -155.8281882)",20.0352881,20.0352881
385.0,River mouth,Mississippi,USA,"(30.1696414, -89.6506126)",30.1696414,30.1696414
395.0,"Hutchinson Island, Martin County",Florida,USA,"(27.3545667, -80.2488596)",27.3545667,27.3545667
418.0,"In the bay near the naval yard at Pensacola, Escambia County",Florida,USA,"(30.42130899999999, -87.2169149)",30.42130899999999,30.42130899999999
429.0,"Bull’s Bay, near Charleston",South Carolina,USA,"(32.9420537, -79.5996716)",32.9420537,32.9420537
447.0,Kau District,Hawaii,USA,"(19.8967662, -155.5827818)",19.8967662,19.8967662
448.0,Kau District,Hawaii,USA,"(19.8967662, -155.5827818)",19.8967662,19.8967662
449.0,Kau District,Hawaii,USA,"(19.8967662, -155.5827818)",19.8967662,19.8967662
463.0,"Hamakua Homakua, Hawai'i",Hawaii,USA,"(19.5429151, -155.6658568)",19.5429151,19.5429151
465.0,"Shrewsbury River, Highlands, Monmouth County",New Jersey,USA,"(40.364998, -74.0343379)",40.364998,40.364998
466.0,"Sandy Hook Bay, Highlands, Monmouth County",New Jersey,USA,"(40.4364582, -74.0417628)",40.4364582,40.4364582
467.0,"Shrewsbury River, Highlands, Monmouth County", New Jersey,USA,"(40.364998, -74.0343379)",40.364998,40.364998
476.0,"Between Lake Worth & Biscayne Bay, near Hillsboro",Florida,USA,"(27.6648274, -81.5157535)",27.6648274,27.6648274
497.0,West Bay near Galveston ,Texas,USA,"(29.1397435, -95.05660689999999)",29.1397435,29.1397435
512.0,"Off Normandie-by-the-Sea, Monmouth County",New Jersey,USA,"(40.2589455, -74.12399599999999)",40.2589455,40.2589455
519.0,"Off Longport, Atlantic County",New Jersey,USA,"(39.3120239, -74.5275589)",39.3120239,39.3120239
554.0,"Woolsey's Point, East River",New York,USA,"(40.8048011, -73.8124984)",40.8048011,40.8048011
560.0,"North Beach, St. Augustine",Florida,USA,"(27.7786048, -80.40818929999999)",27.7786048,27.7786048
574.0,"Near the mouth of the Cape Fear River, Brunswick County",North Carolina,USA,"(34.3479999, -78.0594874)",34.3479999,34.3479999
593.0,30 miles south of Lynn,Massachusetts,USA,"(42.4882381, -70.88764549999999)",42.4882381,42.4882381
603.0,"a creek near Jacksonville, Duval County",Florida,USA,"(30.454032, -81.5994296)",30.454032,30.454032
619.0,Off Kohala,Hawaii,USA,"(20.0859161, -155.7171332)",20.0859161,20.0859161
621.0,Near a small wreck in a channel at Indian Key,Florida,USA,"(28.4549993, -82.6856571)",28.4549993,28.4549993
633.0,"Trout River, Panama Park",Florida,USA,"(30.3910318, -81.6454586)",30.3910318,30.3910318
640.0,"Inter-Island Dry Dock at Kakaako Street, Honolulu, O'ahu",Hawaii,USA,"(21.4389123, -158.0000565)",21.4389123,21.4389123
651.0,Indian River Inlet / Fort Pierce Inlet,Florida,USA,"(27.6648274, -81.5157535)",27.6648274,27.6648274
671.0,"Near Port Lavaca, Calhoun County",Texas,USA,"(28.654051, -96.68131299999999)",28.654051,28.654051
