index,Location,Area,Country,coords,latitude,longitude
2,Ocracoke Inlet,North Carolina,USA,"(35.0861054, -76.0333885)",35.0861054,-76.0333885
13,Somewhere between Hatteras and Beaufort,North Carolina ,USA,"(34.7182174, -76.6638186)",34.7182174,-76.6638186
18,"Gadsden Point, Tampa Bay",Florida,USA,"(27.8222481, -82.4731503)",27.8222481,-82.4731503
68,"Mosquito Inlet (Ponce Inlet), Volusia County",Florida,USA,"(29.0963729, -80.9369983)",29.0963729,-80.9369983
71,"LaJolla, San Diego County",California,USA,"(32.8328112, -117.2712717)",32.8328112,-117.2712717
91,"Tampa Bay, Hillsborough County",Florida,USA,"(27.9483357, -82.4548264)",27.9483357,-82.4548264
100,"Lost Tree Village, Palm Beach County",Florida,USA,"(26.8472144, -80.0531644)",26.8472144,-80.0531644
135,Between Manhattan and The Bronx,New York ,USA,"(40.8447819, -73.8648268)",40.8447819,-73.8648268
176,"Uo, Lahaina, Maui",Hawaii,USA,"(20.8783333, -156.6825)",20.8783333,-156.6825
190,“Southern Wharf”,South Carolina,USA,"(33.836081, -81.1637245)",33.836081,-81.1637245
191,"Magwoods Wharf, Charleston Harbor, Charleston County",South Carolina,USA,"(32.7956561, -79.7848422)",32.7956561,-79.7848422
227,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",California,USA,"(37.6016892, -121.7195459)",37.6016892,-121.7195459
239,"Near Fernandina Bar, Nassau County ",Florida,USA,"(30.5927334, -81.8224362)",30.5927334,-81.8224362
240,Off the Battery,South Carolina,USA,"(33.836081, -81.1637245)",33.836081,-81.1637245
288,"Stono Inlet, near Charleston, Charleston County",South Carolina,USA,"(32.6304143, -79.9954946)",32.6304143,-79.9954946
295,Mahattan,New York,USA,"(40.7830603, -73.9712488)",40.7830603,-73.9712488
300,"Greenport Sound, Long Island",New York,USA,"(40.8521095, -72.9490754)",40.8521095,-72.9490754
320,"Smithville (now Southport), Brunswick County",North Carolina,USA,"(33.921563, -78.02026769999999)",33.921563,-78.02026769999999
332,Kawahae,Hawaii,USA,"(20.0352881, -155.8281882)",20.0352881,-155.8281882
385,River mouth,Mississippi,USA,"(30.1696414, -89.6506126)",30.1696414,-89.6506126
395,"Hutchinson Island, Martin County",Florida,USA,"(27.3545667, -80.2488596)",27.3545667,-80.2488596
